// Manage skill damage [Lilith]
// Format: Skill ID, Mode, PC damage, Mob Damage, Boss Damage, Other damage
// Mode
// 1    - normal maps
// 2    - PVP
// 4    - GVG
// 8    - Battlegrounds
// 32   - zone 1
// 64   - zone 2
// 128  - zone 3
// 256  - zone 4
// 512  - zone 5
// 1024 - zone 6
// 2048 - zone 7

// Examples:
// Mammonite: Normal maps, 0% for players, +50% for mobs, -30% for boss monsters, +10% for others
// 42,1,0,50,-30,10
// Adoramus: PvP & GvG maps, +50% for players, -50% for mobs, 0% for boss monsters, 0% for others
// 2040,6,50,-50,0,0
62,7,1200,0,0,0
136,7,3200,500,500,500
2454,7,999,0,0,0
2216,7,-200,0,0,0
379,7,200,500,500,550
397,7,300,0,0,0
56,7,1700,0,0,0
406,7,500,0,0,0
59,7,1900,0,0,0
58,7,1900,0,0,0
5,7,2200,0,0,0
7,7,2200,0,0,0
137,7,600,0,0,0
149,7,1500,0,0,0
2022,7,60,0,0,0
2036,7,-25,0,0,0
2020,7,150,0,0,0
2004,7,250,0,0,0
2008,7,-100,0,0,0
2002,7,0,0,0,0
2005,7,200,0,0,0
2006,7,130,0,0,0
523,7,1200,0,0,0
524,7,1200,0,0,0
525,7,1300,0,0,0
534,7,3500,0,0,0
535,7,2500,0,0,0
536,7,2500,0,0,0
537,7,3000,0,0,0
539,7,5000,0,0,0
540,7,3000,0,0,0
541,7,10000,0,0,0
542,7,3000,0,0,0
544,7,150,0,0,0
3008,7,5000,0,0,0
3009,7,300,0,0,0
3007,7,500,0,0,0
3006,7,1000,0,0,0
2476,7,100,0,0,0
2477,7,0,0,0,0
2485,7,6000,0,0,0
2483,7,2000,0,0,0
14,7,800,0,0,0
19,7,800,0,0,0
20,7,1000,0,0,0
21,7,2500,0,0,0
83,7,1400,0,0,0
84,7,1400,0,0,0
85,7,1400,0,0,0
89,7,1400,0,0,0
90,7,1400,0,0,0
91,7,1400,0,0,0
2203,7,500,0,0,0
2204,7,780,0,0,0
2210,7,100,0,0,0
2211,7,500,0,0,0
2213,7,0,0,0,0
2214,7,900,0,0,0
2202,7,-20,0,0,0
2216,7,50,0,0,0
2217,7,50,0,0,0
2444,7,1000,0,0,0
2454,7,0,0,0,0
2449,7,20,0,0,0
515,7,1000,0,0,0
516,7,800,0,0,0
518,7,1900,0,0,0
519,7,400,0,0,0
520,7,1300,0,0,0
421,7,1800,0,0,0
394,7,1900,0,0,0
316,7,3800,0,0,0
370,7,800,0,0,0
267,7,780,0,0,0
271,7,400,0,0,0
266,7,14000,0,0,0
1016,7,1200,0,0,0
2413,7,400,0,0,0
2418,7,-10,0,0,0
2518,7,10,0,0,0
2326,7,60,0,0,0
2307,7,-50,0,0,0
2317,7,60,0,0,0
381,7,3500,0,0,0
382,7,600,0,0,0
46,7,1100,0,0,0
2233,7,60,0,0,0
2236,7,-40,0,0,0
2244,7,1000,0,0,0
2246,7,2000,0,0,0
2278,7,100,0,0,0
2279,7,-50,0,0,0
2256,7,80,0,0,0
2256,7,-50,0,0,0
2288,7,-90,0,0,0
2304,7,5000,0,0,0
2038,7,1000,0,0,0
469,7,1000,0,0,0
468,7,2000,0,0,0
2314,7,-99,0,0,0
52,7,1800,0,0,0
358,7,20000,0,0,0
//paladin
368,7,500,0,0,0
28,7,0,0,0,0
251,7,1500,0,0,0
253,7,1500,0,0,0
254,7,7000,0,0,0
480,7,900,0,0,0
485,7,900,0,0,0
2027,7,-80,0,0,0
//sura.
2336,7,-100,0,0,0
2327,7,10,0,0,0
2343,7,-80,0,0,0
2230,7,-50,0,0,0

2213,7,9999,0,0,0
//RG 
2312,7,-60,0,0,0
//holy l
156,7,10000,0,0,0

